FACTION,COMMANDER,ASSAULT OBJECTIVE,DEFENSE OBJECTIVE,NAVIGATION OBJECTIVE,FLAGSHIP,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #2,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #3,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #4,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #5,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #6,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #7,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #8,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #9,UPGRADE,UPGRADE,SHIP TOTAL,SQUADRON #1,SQUADRON #2,SQUADRON #3,SQUADRON #4,SQUADRON #5,SQUADRON #6,SQUADRON #7,SQUADRON #8,SQUADRON #9,SQUADRON #10,SQUADRON #11,SQUADRON #12,SQUADRON #13,SQUADRON #14,SQUADRON #15,SQUADRON #16,SQUADRON #17,SQUADRON #18,SQUADRON TOTAL,LIST TOTAL,
Separatist,Count Dooku,,,,"Munificent-class
Star Frigate",Sa Nalaor,Wat Tambor,Thermal Shields,Point Defense Ion Cannons,"Linked Turbolaser
Towers",,,,,,,"Recusant-class 
Light Destroyer",Patriot Fist,Veteran Gunners,"Reserve
Hangar Deck",External Racks,"Linked Turbolaser
Towers",,,,"Hardcell-class
Battle Refit",TI-99,"Reserve
Hangar Deck","Linked Turbolaser
Towers",,,,"Hardcell-class
Transport",Tikkes,Slicer Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,,,,,,,,,,,,,,,32,393,,,
Republic,Admiral Yularen,,,,Acclamator 1,Nevoota Bee,Clone Captain Silver,Flight Controllers,Boosted Comms,Flag Bridge,Mercy Mission,,,,,,"Consular Armed
Cruiser",Radiant VII,Comms Net,,,,,,,"Consular Armed
Cruiser",Swift Return,,,,,,Pelta Transport,Parts Resupply,,,,,,Pelta Transport,"Fighter Coordination 
Team",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,"Delta-7
(Anakin Skywalker)","V-19
(Axe)",Delta-7,V-19,BTL-B Y-Wing,BTL-B Y-Wing,BTL-B Y-Wing,ARC-170,,,,,,,,,,,115,400,,,
Empire,General Romodi,,,,"Star Dreadnought
Command Prototype",Executor,Captain Needa,"Emperor Palpatine
(Officer)",Captain Brunson,Boarding Troopers,Leading Shots,"Quad Battery 
Turrets","Take Evasive
Action!",,,,Onager Testbed,Rakehell,Hondo Ohnaka,Veteran Gunners,Projection Experts,"Orbital Bombardment
Particle Cannons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394,,,,,,,,,,,,,,,,,,,0,394,,,
Rebel,Leia Organa,,,,CR90-A,Cluster Bombs,"Linked Turbolaser
Towers",,,,,,,,,,CR90-A,Jaina's Light,General Draven,Cluster Bombs,"Linked Turbolaser
Towers",,,,,CR90-A,Liberator,Cluster Bombs,"Turbolaser Reroute 
Circuits","Entrapment 
Formation!",,,CR90-A,Ezra Bridger,Cluster Bombs,"Turbolaser Reroute 
Circuits",,,,"GR-75 Medium
Transports",Toryn Farr,"Reserve
Hangar Deck",,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,"Millennium Falcon 
(Lando Calrissian)",A-wing (Shara Bey),"Shadow Caster 
(Ketsu Onyo)","Y-wing (Dutch 
Vander)","Y-wing (Gold 
Squadron)",Z-95,Z-95,,,,,,,,,,,,104,399,,,
Separatist,Count Dooku,,,,"Munificent-class
Star Frigate",Wat Tambor,Projection Experts,Thermal Shields,"Linked Turbolaser
Towers",,,,,,,,"Recusant-class 
Support Destroyer",Patriot Fist,Rune Haako,Flight Controllers,Boosted Comms,"Expanded 
Hangar Bay","Linked Turbolaser
Towers",,,Gozanti (CIS),Tikkes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,"Vulture Fighter
(DFS-311)","Droid Tri-Fighter
(DIS-T81)","Droid Tri-Fighter
(Phlac-Arphocc)",Hyena Bomber,Hyena Bomber,Hyena Bomber,Hyena Bomber,Vulture Fighter,Vulture Fighter,Vulture Fighter,,,,,,,,,122,399,,,
Separatist,TF-1726,,,,"Providence-class 
Carrier",Rune Haako,"Electronic 
Countermeasures",B2 Rocket Troopers,External Racks,Point Defense Ion Cannons,Jedi Hostage,,,,,,"Recusant-class 
Light Destroyer",Patriot Fist,Tikkes,B2 Rocket Troopers,Ordnance Experts,Swivel-Mount Batteries,"Assault Proton 
Torpedoes",,,"Recusant-class 
Light Destroyer",Nova Defiant,Shu Mai,Gunnery Team,B2 Rocket Troopers,Swivel-Mount Batteries,"Assault Proton 
Torpedoes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395,,,,,,,,,,,,,,,,,,,0,395,,,
Separatist,Mar Tuuk,,,,"Recusant-class 
Support Destroyer",Nova Defiant,T-Series Tactical Droid,Flight Controllers,Boosted Comms,"Expanded 
Hangar Bay","Linked Turbolaser
Towers",,,,,,"Recusant-class 
Support Destroyer",Patriot Fist,T-Series Tactical Droid,Flight Controllers,Boosted Comms,"Reserve
Hangar Deck","Linked Turbolaser
Towers",,,Gozanti (CIS),Hondo Ohnaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,Droid Tri-Fighter,Hyena Bomber,Hyena Bomber,Hyena Bomber,Hyena Bomber,Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,,,,,,,,103,400,,,
Empire,Admiral Sloane,,,,Onager Testbed,Sensor Team,Ordnance Experts,"Orbital Bombardment
Particle Cannons",,,,,,,,,"Quasar
Fire 1",Squall,Taskmaster Grint,Flight Controllers,"Expanded 
Hangar Bay",Boosted Comms,,,,"Gozanti
Cruisers",Comms Net,,,,,,"Gozanti
Cruisers",Vector,"Emperor Palpatine
(Officer)","Expanded 
Hangar Bay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,"Lambda-class Shuttle 
(Colonel Jendon)","TIE Defender 
(Maarek Stele)","TIE Defender 
(Darth Vader)","JumpMaster 5000
(Tel Trevura)",TIE Defender,TIE Fighter,TIE Fighter,TIE Fighter,TIE Fighter,,,,,,,,,,131,400,,,
Separatist,General Grievous,,,,"Providence-class 
Carrier",Invisible Hand,Flight Commander,Thermal Shields,"Reserve
Hangar Deck",External Racks,Point Defense Ion Cannons,"Intensify
Firepower",,,,,"Munificent-class
Comms Frigate",Wat Tambor,Projection Experts,"Reserve
Hangar Deck","Linked Turbolaser
Towers",,,,,"Hardcell-class
Transport",Tikkes,Comms Net,,,,,Gozanti (CIS),Hondo Ohnaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,Hyena Bomber,Hyena Bomber,Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,,,,,,,,,,,70,400,,,
Empire,Admiral Motti,,,,ISD 2,Director Krennic,Gunnery Team,"Early Warning
System",Point Defense Ion Cannons,Spinal Armament,,,,,,,Victory 2,Harrow,Commander Beck,Gunnery Team,Engine Techs,Disposable Capacitors,"Heavy Ion
Emplacements","Quad Battery 
Turrets",,"Gozanti
Cruisers",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,"TIE Defender 
(Darth Vader)","TIE Bomber 
(Captain Jonus)","Aggressor Assault 
Fighter","Aggressor Assault 
Fighter",,,,,,,,,,,,,,,73,400,,,
Separatist,Kraken,,,,"Hardcell-class
Battle Refit","Reserve
Hangar Deck",,,,,,,,,,,"Recusant-class 
Light Destroyer",Patriot Fist,Ordnance Experts,"Reserve
Hangar Deck","Assault Proton 
Torpedoes",Swivel-Mount Batteries,,,,"Hardcell-class
Battle Refit",Wat Tambor,"Reserve
Hangar Deck",,,,,"Hardcell-class
Transport",Slicer Tools,,,,,,Gozanti (CIS),Tikkes,Flight Controllers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,Droid Tri-Fighter,Droid Tri-Fighter,Droid Tri-Fighter,Droid Tri-Fighter,Droid Tri-Fighter,,,,,,,,,,,,,,55,399,,,
Empire,Moff Jerjerrod,,,,"Star Dreadnought
Assault Prototype",Ravager,Captain Brunson,Captain Needa,Agent Kallus,Gunnery Team,"Reserve
Hangar Deck",Quad Laser Turrets,Leading Shots,"Heavy Ion
Emplacements",H9 Turbolasers,"Linked Turbolaser
Towers","Gozanti
Cruisers",Admiral Titus,"Reserve
Hangar Deck",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,TIE Interceptor,TIE Interceptor,,,,,,,,,,,,,,,,,22,388,,,
Rebel,Krysta Agate,,,,Providence (Reb),Walex Blissex,Hondo Ohnaka,"Auxiliary 
Shield Teams",Engine Techs,Flak Guns,,,,,,,Starhawk 1,Amity,Intel Officer,Point Defense Ion Cannons,"Linked Turbolaser
Towers",,,,,"Pelta
Assault",Raymus Antilles,Projection Experts,"Intensify
Firepower",,,,"GR-75 Medium
Transports",Ahsoka Tano (reb),Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397,,,,,,,,,,,,,,,,,,,0,397,,,
Empire,Admiral Motti,,,,ISD 2,"Seventh Fleet Star
Destroyer",Agent Kallus,Ruthless Strategists,"Early Warning
System",Leading Shots,Heavy Fire Zone,,,,,,Gladiator 1,"Seventh Fleet Star
Destroyer",Hondo Ohnaka,Projection Experts,,,,,,"Gozanti
Cruisers",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,"Lambda-class Shuttle 
(Colonel Jendon)","TIE Defender 
(Maarek Stele)","TIE Defender 
(Darth Vader)","TIE Fighter 
(Mauler Mithel)",Firespray-31,Firespray-31,YV-666,,,,,,,,,,,,132,399,,,
Empire,Admiral Sloane,,,,"Quasar
Fire 1",Flight Controllers,"Expanded 
Hangar Bay",Boosted Comms,,,,,,,,,"Arquitens
Light Cruiser",Centicore,"Linked Turbolaser
Towers",,,,,,,"Arquitens
Light Cruiser",Captain Needa,"Turbolaser Reroute 
Circuits",,,,,"Gozanti
Cruisers","Reserve
Hangar Deck",Comms Net,,,,,"Gozanti
Cruisers","Reserve
Hangar Deck",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,"Lambda-class Shuttle 
(Colonel Jendon)","TIE Defender 
(Maarek Stele)","TIE Fighter 
(Mauler Mithel)","TIE Fighter 
(Howlrunner)","TIE Interceptor 
(Saber Squadron)",TIE Interceptor,TIE Interceptor,TIE Interceptor,,,,,,,,,,,117,393,,,
Separatist,TF-1726,,,,"Recusant-class 
Support Destroyer",Patriot Fist,Wat Tambor,Ordnance Experts,B2 Rocket Troopers,Flag Bridge,XI7 Turbolasers,Jedi Hostage,,,,,"Hardcell-class
Battle Refit",B2 Rocket Troopers,"Linked Turbolaser
Towers",,,,,,,"Hardcell-class
Battle Refit",B2 Rocket Troopers,"Linked Turbolaser
Towers",,,,,"Hardcell-class
Transport",Tikkes,Chart Officer,Medical Team,Slicer Tools,,,Gozanti (CIS),Ordnance Experts,,,,,,Gozanti (CIS),Ordnance Experts,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,0,400,,,
Separatist,Mar Tuuk,,,,"Providence-class 
Carrier",Rune Haako,Thermal Shields,"Reserve
Hangar Deck",External Racks,Point Defense Ion Cannons,"Linked Turbolaser
Towers","Intensify
Firepower",,,,,"Hardcell-class
Battle Refit","Reserve
Hangar Deck","Linked Turbolaser
Towers",,,,,,,"Hardcell-class
Battle Refit","Reserve
Hangar Deck","Linked Turbolaser
Towers",,,,,"Hardcell-class
Battle Refit","Reserve
Hangar Deck","Linked Turbolaser
Towers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,Droid Tri-Fighter,Droid Tri-Fighter,Droid Tri-Fighter,Droid Tri-Fighter,,,,,,,,,,,,,,,44,396,,,
Empire,Admiral Ozzel,Precision Strike,,,ISD 2,"Seventh Fleet Star
Destroyer",Captain Brunson,Gunnery Team,"Reserve
Hangar Deck","Early Warning
System","Heavy Ion
Emplacements","Quad Battery 
Turrets",,,,,Gladiator 1,"Seventh Fleet Star
Destroyer",Hondo Ohnaka,Projection Experts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,"TIE Defender 
(Darth Vader)","VT-49 Decimator 
(Morna Kee)","TIE Fighter 
(Mauler Mithel)",Slave I (Boba Fett),TIE Interceptor,Firespray-31,JumpMaster 5000,,,,,,,,,,,,134,388,,,
Rebel,General Cracken,Surprise Attack,Capture the VIP,,CR90-A,Jaina's Light,Hondo Ohnaka,"Turbolaser Reroute 
Circuits",,,,,,,,,CR90-A,"Turbolaser Reroute 
Circuits",,,,,,,,CR90-A,"Turbolaser Reroute 
Circuits",,,,,,CR90-A,"Turbolaser Reroute 
Circuits",,,,,,"GR-75 Medium
Transports",Bright Hope,Toryn Farr,Slicer Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,"Millennium Falcon 
(Lando Calrissian)",A-wing (Shara Bey),"A-wing (Tycho 
Celchu)","Shadow Caster 
(Ketsu Onyo)",A-wing,A-wing,YT-2400,YT-2400,,,,,,,,,,,132,400,,,
Rebel,General Cracken,,,,"Assault Frigate
Mk2B",Raymus Antilles,Flight Controllers,Boosted Comms,"Electronic 
Countermeasures","Linked Turbolaser
Towers",,,,,,,CR90-A,Jaina's Light,Ezra Bridger,"Turbolaser Reroute 
Circuits",,,,,,"MC30c
Torpedo",Foresight,Intel Officer,Ordnance Experts,"Assault Proton 
Torpedoes",XI7 Turbolasers,,"GR-75 Medium
Transports",Bright Hope,Toryn Farr,Boosted Comms,"Bomber Command 
Center",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316,E-wing,E-wing,E-wing,E-wing,Y-wing,Y-wing,,,,,,,,,,,,,80,396,,,
Rebel,Admiral Raddus,,"Abandoned Mining
Facility",,Starhawk 1,Amity,Lando Calrissian,Major Derlin,Local Fire Control,"Hardened 
Bulkheads",Point Defense Ion Cannons,"Linked Turbolaser
Towers",,,,,"MC80 Star
Cruiser",Mon Karren,Intel Officer,"Weapons Battery
Techs",Engine Techs,"Heavy Ion
Emplacements","Quad Battery 
Turrets","Linked Turbolaser
Towers",,"GR-75 Medium
Transports","Leia Organa
(Officer)",Comms Net,,,,,"GR-75 Medium
Transports",Hondo Ohnaka,Repair Crews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393,,,,,,,,,,,,,,,,,,,0,393,,,
Rebel,Krysta Agate,,Asteroid Tactics,Superior Positions,Starhawk 2,Unity,Major Derlin,Walex Blissex,Local Fire Control,Point Defense Ion Cannons,"Linked Turbolaser
Towers",,,,,,"GR-75 Medium
Transports",Adar Tallon,Boosted Comms,,,,,,,"GR-75 Medium
Transports",Toryn Farr,Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,"Millennium Falcon 
(Lando Calrissian)",A-wing (Shara Bey),"Y-wing (Dutch 
Vander)","Shadow Caster 
(Ketsu Onyo)","Y-wing (Gold 
Squadron)","A-wing (Green 
Squadron)",YT-2400,YT-2400,,,,,,,,,,,134,400,,,
Empire,Grand Admiral Thrawn,,,,"Interdictor
Suppression",Interdictor,Captain Brunson,Disposable Capacitors,Point Defense Ion Cannons,Grav Shift Reroute,Targetting Scrambler,,,,,,Gladiator 2,Demolisher,Agent Kallus,Ruthless Strategists,External Racks,,,,,"Gozanti
Cruisers",Comms Net,,,,,,"Gozanti
Cruisers",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,"Lambda-class Shuttle 
(Colonel Jendon)","TIE Defender 
(Maarek Stele)","TIE Defender 
(Darth Vader)","JumpMaster 5000
(Tel Trevura)",TIE Bomber,TIE Bomber,TIE Bomber,TIE Bomber,,,,,,,,,,,119,400,,,
Rebel,General Rieekan,,,Volatile Deposits,"Assault Frigate
Mk2B",Skilled First Officer,"Caitken and 
Shollan",Boosted Comms,"Electronic 
Countermeasures","Enhanced 
Armament",,,,,,,CR90-A,Jaina's Light,"Turbolaser Reroute 
Circuits",,,,,,,"Hammerhead
Torpedo","Task Force
Organa",External Racks,,,,,"Hammerhead
Torpedo","Task Force
Organa",External Racks,,,,,"GR-75 Medium
Transports",Bright Hope,Toryn Farr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,"Millennium Falcon 
(Lando Calrissian)",A-wing (Shara Bey),"Y-wing (Dutch 
Vander)","X-wing (Wedge 
Antilles)","Y-wing (Gold 
Squadron)",Scurrg H-6 Bomber,,,,,,,,,,,,,103,399,,,
Republic,Obi-Wan Kenobi,Most Wanted,,,Pelta Transport,Expert Shield Tech,Projection Experts,Parts Resupply,Reactive Gunnery,,,,,,,,Pelta Transport,Expert Shield Tech,Projection Experts,Parts Resupply,Reactive Gunnery,,,,,Pelta Transport,Expert Shield Tech,Engine Techs,Slicer Tools,,,,Pelta Transport,Expert Shield Tech,Engine Techs,Slicer Tools,,,,Venator 1,Tranquility,Clone Captain Silver,Flak Guns,Ordnance Experts,Ordnance Pods,"Intensify
Firepower",,,,,,,,,,,,,,,,,,,,,,,,,397,,,,,,,,,,,,,,,,,,,0,397,,,
Empire,Admiral Sloane,,Fighter Ambush,,"Quasar
Fire 1",Squall,Taskmaster Grint,Flight Controllers,"Expanded 
Hangar Bay",Boosted Comms,,,,,,,Onager Testbed,"Emperor Palpatine
(Officer)",Ordnance Experts,Engine Techs,"Orbital Bombardment
Particle Cannons",,,,,Raider 1,Corvus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,"Lambda-class Shuttle 
(Colonel Jendon)","TIE Defender 
(Maarek Stele)","TIE Defender 
(Darth Vader)","Slave I 
(Hondo Ohnaka)","TIE Interceptor 
(Saber Squadron)","TIE Fighter 
(Black Squadron)",TIE Interceptor,TIE Interceptor,,,,,,,,,,,133,396,,,
Separatist,Mar Tuuk,Most Wanted,,,"Munificent-class
Star Frigate",Tide of Progress XII,Rune Haako,Medical Team,Thermal Shields,Point Defense Ion Cannons,"Linked Turbolaser
Towers",,,,,,"Munificent-class
Star Frigate",Thermal Shields,Point Defense Ion Cannons,"Linked Turbolaser
Towers",,,,,,"Munificent-class
Star Frigate",Thermal Shields,Point Defense Ion Cannons,"Linked Turbolaser
Towers",,,,Gozanti (CIS),Tikkes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331,"Droid Tri-Fighter
(DIS-T81)","Hyena Bomber
(DBS-404)","Vulture Fighter
(Haor Chall)","Droid Tri-Fighter
(Phlac-Arphocc)",,,,,,,,,,,,,,,69,400,,,
Rebel,Krysta Agate,,,Hyperspace Migration,"MC30c
Torpedo",Foresight,Expert Shield Tech,Ordnance Experts,"Electronic 
Countermeasures",External Racks,H9 Turbolasers,,,,,,"MC30c
Torpedo",Admonition,Lando Calrissian,Ordnance Experts,Advanced Projectors,External Racks,H9 Turbolasers,,,"GR-75 Medium
Transports",Bright Hope,Toryn Farr,Comms Net,,,,"GR-75 Medium
Transports",Adar Tallon,Boosted Comms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,A-wing (Shara Bey),"Y-wing (Dutch 
Vander)","Shadow Caster 
(Ketsu Onyo)","Sato's Hammer
(Mart Mattin)",YT-2400,YT-2400,YT-2400,,,,,,,,,,,,125,400,,,
Rebel,Krysta Agate,Advanced Gunnery,,Doomed Station,Starhawk 1,Concord,Lando Calrissian,Major Derlin,"Weapons Battery
Techs","Heavy Ion
Emplacements","Quad Battery 
Turrets","Magnite Crystal
Tractor Beam Array",,,,,"MC80 Assault
Cruiser",Home One,Expert Shield Tech,Projection Experts,"Electronic 
Countermeasures","Reinforced 
Blast Doors",Point Defense Ion Cannons,"Linked Turbolaser
Towers",,"GR-75 Medium
Transports",Ahsoka Tano (reb),Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389,,,,,,,,,,,,,,,,,,,0,389,,,
Rebel,Krysta Agate,,Asteroid Tactics,,"MC80 Star
Cruiser",Mon Karren,Walex Blissex,"Weapons Battery
Techs",Engine Techs,"Heavy Ion
Emplacements","Linked Turbolaser
Towers",H9 Turbolasers,,,,,CR90-A,Jaina's Light,"Turbolaser Reroute 
Circuits",,,,,,,CR90-A,"Turbolaser Reroute 
Circuits",,,,,,"GR-75 Medium
Transports","Leia Organa
(Officer)",Munitions Resupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,"Millennium Falcon 
(Lando Calrissian)",A-wing (Shara Bey),"A-wing (Tycho 
Celchu)","X-wing (Rogue 
Squadron)",YT-2400,YT-2400,,,,,,,,,,,,,102,394,,,
Empire,Admiral Ozzel,,,,Raider 2,Corvus,Iden Versio,"Weapons Battery
Techs",Disposable Capacitors,"Heavy Ion
Emplacements",,,,,,,Gladiator 1,Demolisher,"Emperor Palpatine
(Officer)","Fighter Coordination 
Team",Ordnance Experts,External Racks,,,,"Arquitens
Light Cruiser",Captain Needa,"Turbolaser Reroute 
Circuits",,,,,"Gozanti
Cruisers",,,,,,,"Gozanti
Cruisers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,"TIE Defender 
(Darth Vader)","Slave I 
(Hondo Ohnaka)","JumpMaster 5000
(Tel Trevura)","TIE Fighter 
(Mauler Mithel)",Firespray-31,Firespray-31,,,,,,,,,,,,,117,399,,,
Rebel,General Cracken,Most Wanted,,,"MC30c
Torpedo",Foresight,Expert Shield Tech,Ordnance Experts,External Racks,H9 Turbolasers,,,,,,,CR90-B,Jaina's Light,"Ion Cannon 
Batteries",,,,,,,CR90-B,Dodonna's Pride,Ezra Bridger,,,,,"GR-75 Medium
Transports",Adar Tallon,Boosted Comms,,,,,"GR-75 Medium
Transports",Toryn Farr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,"Millennium Falcon 
(Lando Calrissian)",A-wing (Shara Bey),"Y-wing (Dutch 
Vander)","Y-wing (Gold 
Squadron)","X-wing (Rogue 
Squadron)",A-wing,YT-2400,YT-2400,,,,,,,,,,,125,394,,,
Empire,Admiral Ozzel,,Fleet in Being,,ISD 2,Chimera,Captain Needa,"Darth Vader 
(Boarding)","Electronic 
Countermeasures",Leading Shots,"Entrapment 
Formation!",,,,,,"Onager Star 
Destroyer",Sunder,Intel Officer,Veteran Gunners,Sensor Team,"Linked Turbolaser
Towers","Orbital Bombardment
Particle Cannons",,,"Gozanti
Cruisers",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,"TIE Fighter 
(Valen Rudor)",TIE Bomber,TIE Bomber,TIE Bomber,TIE Bomber,TIE Bomber,,,,,,,,,,,,,58,399,,,
Empire,Emperor Palpatine,,,,Onager Testbed,Cataclysm,"Admiral Ozzel
(Officer)","Gunnery Chief 
Varnillian",Veteran Gunners,"Orbital Bombardment
Particle Cannons",,,,,,,Gladiator 1,Demolisher,Intel Officer,Ordnance Experts,Engine Techs,"Assault Proton 
Torpedoes",,,,"Gozanti
Cruisers",Hondo Ohnaka,Suppressor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,"Lambda-class Shuttle 
(Colonel Jendon)","TIE Defender 
(Maarek Stele)","TIE Defender 
(Darth Vader)","VT-49 Decimator 
(Morna Kee)","TIE Advanced 
(Tempest Squadron)",Firespray-31,,,,,,,,,,,,,124,396,,,
Rebel,Admiral Ackbar,,,,CR90-A,Jaina's Light,"Linked Turbolaser
Towers",,,,,,,,,,"MC30c
Scout",Foresight,Intel Officer,Ordnance Experts,External Racks,"Linked Turbolaser
Towers",,,,"MC30c
Scout",Admonition,Intel Officer,Ordnance Experts,External Racks,"Linked Turbolaser
Towers",,"GR-75 Medium
Transports",Munitions Resupply,,,,,,"GR-75 Medium
Transports",Bright Hope,Slicer Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,A-wing (Shara Bey),"A-wing (Tycho 
Celchu)",A-wing,Z-95,Z-95,Z-95,,,,,,,,,,,,,65,400,,,
Republic,Admiral Yularen,,Fighter Ambush,,Acclamator 2,Implacable,Clone Captain Silver,Flight Controllers,Thermal Shields,External Racks,"Linked Turbolaser
Towers",,,,,,Pelta Medical,TB-73,Clone Navigation Officer,Boosted Comms,"Fighter Coordination 
Team","Bomber Command 
Center",,,,Pelta Medical,Hondo Ohnaka,Boosted Comms,Projection Experts,Parts Resupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,"Delta-7
(Anakin Skywalker)","Delta-7
(Ahsoka Tano)","V-19
(Axe)","V-19
(Kickback)",BTL-B Y-Wing,BTL-B Y-Wing,BTL-B Y-Wing,BTL-B Y-Wing,BTL-B Y-Wing,,,,,,,,,,130,392,,,
Republic,Luminara Unduli,,Jamming Barrier,,Venator 2,Tranquility,Ahsoka Tano (rep),Flight Controllers,Flag Bridge,Thermal Shields,Ordnance Pods,"Linked Turbolaser
Towers",Mercy Mission,,,,Pelta Medical,Hondo Ohnaka,Medical Team,Boosted Comms,"Bomber Command 
Center",,,,,"Consular Armed
Cruiser",Radiant VII,Clone Captain Silver,Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,"Delta-7
(Anakin Skywalker)","V-19
(Axe)","V-19
(Kickback)",V-19,BTL-B Y-Wing,BTL-B Y-Wing,BTL-B Y-Wing,BTL-B Y-Wing,BTL-B Y-Wing,BTL-B Y-Wing,,,,,,,,,129,392,,,
Empire,Grand Moff Tarkin,Most Wanted,,,ISD 2,Sovereign,Agent Kallus,Gunnery Team,"Electronic 
Countermeasures",Point Defense Ion Cannons,Quad Laser Turrets,Heavy Fire Zone,,,,,Gladiator 2,Demolisher,Admiral Montferrat,Engine Techs,Ordnance Experts,External Racks,,,,"Arquitens
Command Cruiser",Hand of Justice,Expert Shield Tech,"Auxiliary 
Shield Teams",Heavy Fire Zone,,,"Gozanti
Cruisers",Comms Net,,,,,,"Gozanti
Cruisers",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,0,400,,,
Republic,Luminara Unduli,Most Wanted,,,Pelta Transport,Expert Shield Tech,Projection Experts,Reactive Gunnery,Parts Resupply,,,,,,,,Venator 1,Tranquility,Expert Shield Tech,Local Fire Control,SPHA-T,Ordnance Pods,Shields to Maximum!,,,Acclamator 2,Implacable,Expert Shield Tech,Ordnance Experts,Ordnance Pods,H9 Turbolasers,,Charger c70,"Linked Turbolaser
Towers",,,,,,"Consular Armed
Cruiser",Radiant VII,Projection Experts,Munitions Resupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,0,400,,,
