ship_name,upgrade_name,frequency
Recusant Light Destroyer (85),Rapid Reload (8)!,20
Recusant Light Destroyer (85),TI-99 (4),25
Recusant Light Destroyer (85),Weapons Liaison (3),6
Recusant Light Destroyer (85),Chart Officer (2),16
Recusant Light Destroyer (85),Weapons Battery Techs (5)!,17
Recusant Light Destroyer (85),Asajj Ventress (4)!,35
Recusant Light Destroyer (85),Wat Tambor (5)!,93
Recusant Light Destroyer (85),Wide-Area Barrage (2),32
Recusant Light Destroyer (85),XX-9 Turbolasers (5)!,32
Recusant Light Destroyer (85),Dual Turbolaser Turrets (5)!,51
Recusant Light Destroyer (85),Heavy Turbolaser Turrets (6)!,22
Recusant Light Destroyer (85),Veteran Captain (3)!,15
Recusant Light Destroyer (85),Intensify Firepower! (6),8
Recusant Light Destroyer (85),Proximity Mines (4),22
Recusant Light Destroyer (85),Boarding Engineers (2),22
Recusant Light Destroyer (85),Expert Shield Tech (5),5
Recusant Light Destroyer (85),Flechette Torpedoes (3),3
Recusant Light Destroyer (85),Tactical Expert (6),15
Recusant Light Destroyer (85),Flight Commander (3),3
Recusant Light Destroyer (85),Support Officer (2),6
Recusant Light Destroyer (85),Defense Liaison (3),5
Recusant Light Destroyer (85),Support Officer (4)!,1
Recusant Light Destroyer (85),Navigation Officer (6),8
Recusant Light Destroyer (85),Rapid Reload (4),3
Recusant Light Destroyer (85),Rapid Launch Bays (6),2
Recusant Light Destroyer (85),Local Fire Control (4),12
Recusant Light Destroyer (85),Asajj Ventress (2),2
Recusant Light Destroyer (85),Point-Defense Reroute (5),6
Recusant Light Destroyer (85),Shields to Maximum! (6),2
Recusant Light Destroyer (85),Take Evasive Action! (6),1
Recusant Light Destroyer (85),Entrapment Formation! (5),2
Hardcell Transport (47),Munitions Resupply (3),684
Hardcell Transport (47),San Hill (3),249
Hardcell Transport (47),Comms Net (2),953
Hardcell Transport (47),Beast of Burden (6),1564
Hardcell Transport (47),Hondo Ohnaka (2),818
Hardcell Transport (47),Bomber Command Center (8),1326
Hardcell Transport (47),Projection Experts (6),1233
Hardcell Transport (47),Engineering Team (3),8
Hardcell Transport (47),Foreman's Labor (5),425
Hardcell Transport (47),Slicer Tools (7),500
Hardcell Transport (47),Parts Resupply (3),982
Hardcell Transport (47),Tikkes (2),1220
Hardcell Transport (47),Asajj Ventress (2),11
Hardcell Transport (47),Engine Techs (8),98
Hardcell Transport (47),General Grievous (20),85
Hardcell Transport (47),Auxiliary Shields Team (3),443
Hardcell Transport (47),Veteran Captain (2),21
Hardcell Transport (47),Flight Commander (3),135
Hardcell Transport (47),Chart Officer (2),39
Hardcell Transport (47),Repair Crews (3),13
Hardcell Transport (47),Rune Haako (4),244
Hardcell Transport (47),TI-99 (4),233
Hardcell Transport (47),T-Series Tactical Droid (4),65
Hardcell Transport (47),Shu Mai (4),21
Hardcell Transport (47),Expert Shield Tech (5),63
Hardcell Transport (47),Jamming Field (2),46
Hardcell Transport (47),Wat Tambor (9),60
Hardcell Transport (47),Fighter Coordination Team (3),89
Hardcell Transport (47),Battle Droid Reserves (4),29
Hardcell Transport (47),Repair Crews (4)!,121
Hardcell Transport (47),Wat Tambor (5)!,96
Hardcell Transport (47),Medical Team (1),64
Hardcell Transport (47),Engineering Team (5)!,26
Hardcell Transport (47),Veteran Captain (3)!,24
Hardcell Transport (47),Wing Commander (6),2
Hardcell Transport (47),Intel Officer (7),10
Hardcell Transport (47),Skilled First Officer (1),8
Hardcell Transport (47),Tactical Expert (6),1
Hardcell Transport (47),Engineering Captain (6),10
Hardcell Transport (47),Nav Team (4),11
Hardcell Transport (47),Passel Argente (6),13
Hardcell Transport (47),Support Officer (4)!,1
Hardcell Transport (47),Asajj Ventress (4)!,37
Hardcell Transport (47),Damage Control Officer (5)!,2
Hardcell Transport (47),Defense Liaison (3),1
MC80 Assault Cruiser (110),Engine Techs (8),118
MC80 Assault Cruiser (110),Electronic Countermeasures (7),203
MC80 Assault Cruiser (110),Advanced Projectors (6),82
MC80 Assault Cruiser (110),Enhanced Armament (10),39
MC80 Assault Cruiser (110),Home One (5),102
MC80 Assault Cruiser (110),Ray Antilles (7),47
MC80 Assault Cruiser (110),Reinforced Blast Doors (5),62
MC80 Assault Cruiser (110),Leading Shots (5),150
MC80 Assault Cruiser (110),Dual Turbolaser Turrets (4),17
MC80 Assault Cruiser (110),Reactive Gunnery (4),55
MC80 Assault Cruiser (110),XI7 Turbolasers (6),66
MC80 Assault Cruiser (110),Defiance (5),99
MC80 Assault Cruiser (110),Expert Shield Tech (5),54
MC80 Assault Cruiser (110),Point Defense Ion Cannons (6),49
MC80 Assault Cruiser (110),Early Warning System (7),114
MC80 Assault Cruiser (110),Quad Battery Turrets (5),82
MC80 Assault Cruiser (110),Slaved Turrets (6),3
MC80 Assault Cruiser (110),Walex Blissex (5),35
MC80 Assault Cruiser (110),Engineering Team (3),46
MC80 Assault Cruiser (110),SW-7 Ion Batteries (5),6
MC80 Assault Cruiser (110),XX-9 Turbolasers (2),15
MC80 Assault Cruiser (110),MS-1 Ion Cannons (2),3
MC80 Assault Cruiser (110),Mon Calamari Exodus Fleet (5),48
MC80 Assault Cruiser (110),Intel Officer (7),27
MC80 Assault Cruiser (110),Cluster Bombs (5),4
MC80 Assault Cruiser (110),Major Derlin (7),18
MC80 Assault Cruiser (110),Projection Experts (6),50
MC80 Assault Cruiser (110),Heavy Ion Emplacements (9),13
MC80 Assault Cruiser (110),Kyrsta Agate (5),5
MC80 Assault Cruiser (110),Quad Turbolaser Cannons (10),6
MC80 Assault Cruiser (110),General Draven (3),1
MC80 Assault Cruiser (110),Heavy Fire Zone (2),20
MC80 Assault Cruiser (110),Engineering Captain (6),5
MC80 Assault Cruiser (110),Redundant Shields (8),24
MC80 Assault Cruiser (110),Ion Cannon Batteries (5),2
MC80 Assault Cruiser (110),Ahsoka Tano (2),2
MC80 Assault Cruiser (110),H9 Turbolasers (8),5
MC80 Assault Cruiser (110),General Draven (20),8
MC80 Assault Cruiser (110),Damage Control Officer (3),5
MC80 Assault Cruiser (110),Toryn Farr (7),5
MC80 Assault Cruiser (110),Linked Turbolaser Towers (7),7
MC80 Assault Cruiser (110),Lando Calrissian (4),9
MC80 Assault Cruiser (110),High-Capacity Ion Turbines (6),5
MC80 Assault Cruiser (110),Veteran Captain (2),1
MC80 Assault Cruiser (110),General Dodonna (20),4
MC80 Assault Cruiser (110),Ezra Bridger (3),1
MC80 Assault Cruiser (110),Overload Pulse (6),3
MC80 Assault Cruiser (110),Captain Rex (5),2
MC80 Assault Cruiser (110),Heavy Turbolaser Turrets (4),6
MC80 Assault Cruiser (110),NK-7 Ion Cannons (6),9
MC80 Assault Cruiser (110),Spinal Armament (9),2
MC80 Assault Cruiser (110),Nav Team (4),4
MC80 Assault Cruiser (110),Tactical Expert (6),2
MC80 Assault Cruiser (110),Skilled First Officer (1),1
MC80 Assault Cruiser (110),DBY-827 Heavy Turbolasers (3),4
MC80 Assault Cruiser (110),Turbolaser Reroute Circuits (7),1
MC80 Assault Cruiser (110),Auxiliary Shields Team (3),2
MC80 Assault Cruiser (110),Medical Team (1),1
MC80 Assault Cruiser (110),Flight Commander (3),1
MC80 Assault Cruiser (110),Fighter Coordination Team (3),4
MC80 Assault Cruiser (110),Defense Liaison (3),2
Starhawk Battleship Mark I (140),Ezra Bridger (3),116
Starhawk Battleship Mark I (140),Walex Blissex (5),958
Starhawk Battleship Mark I (140),Caitken and Shollan (6),509
Starhawk Battleship Mark I (140),Flak Guns (3),456
Starhawk Battleship Mark I (140),Leading Shots (5),44
Starhawk Battleship Mark I (140),DBY-827 Heavy Turbolasers (3),477
Starhawk Battleship Mark I (140),Magnite Crystal Tractor Beam Array (10),887
Starhawk Battleship Mark I (140),Concord (12),764
Starhawk Battleship Mark I (140),Damage Control Officer (3),20
Starhawk Battleship Mark I (140),Ray Antilles (7),478
Starhawk Battleship Mark I (140),Heavy Ion Emplacements (9),83
Starhawk Battleship Mark I (140),Phylon Q7 Tractor Beams (6),244
Starhawk Battleship Mark I (140),Point Defense Ion Cannons (6),114
Starhawk Battleship Mark I (140),Linked Turbolaser Towers (7),553
Starhawk Battleship Mark I (140),General Draven (3),14
Starhawk Battleship Mark I (140),Local Fire Control (4),326
Starhawk Battleship Mark I (140),Hardened Bulkheads (5),223
Starhawk Battleship Mark I (140),Turbolaser Reroute Circuits (7),91
Starhawk Battleship Mark I (140),Amity (6),719
Starhawk Battleship Mark I (140),Support Officer (2),4
Starhawk Battleship Mark I (140),Sensor Team (5),37
Starhawk Battleship Mark I (140),XI7 Turbolasers (6),275
Starhawk Battleship Mark I (140),Expert Shield Tech (5),189
Starhawk Battleship Mark I (140),Major Derlin (7),287
Starhawk Battleship Mark I (140),Spinal Armament (9),80
Starhawk Battleship Mark I (140),Unity (10),284
Starhawk Battleship Mark I (140),Quad Battery Turrets (5),92
Starhawk Battleship Mark I (140),Kyrsta Agate (5),255
Starhawk Battleship Mark I (140),Gunnery Team (7),188
Starhawk Battleship Mark I (140),Intel Officer (7),144
Starhawk Battleship Mark I (140),Engineering Captain (6),36
Starhawk Battleship Mark I (140),Ordnance Experts (4),115
Starhawk Battleship Mark I (140),SW-7 Ion Batteries (5),30
Starhawk Battleship Mark I (140),Heavy Turbolaser Turrets (4),10
Starhawk Battleship Mark I (140),Weapons Battery Techs (4),12
Starhawk Battleship Mark I (140),Overload Pulse (6),3
Starhawk Battleship Mark I (140),Boarding Troopers (3),115
Starhawk Battleship Mark I (140),XX-9 Turbolasers (2),16
Starhawk Battleship Mark I (140),Lando Calrissian (4),220
Starhawk Battleship Mark I (140),Veteran Gunners (5),77
Starhawk Battleship Mark I (140),General Dodonna (20),147
Starhawk Battleship Mark I (140),Defense Liaison (3),26
Starhawk Battleship Mark I (140),Quad Laser Turrets (5),83
Starhawk Battleship Mark I (140),Rapid Launch Bays (6),18
Starhawk Battleship Mark I (140),Enhanced Armament (10),17
Starhawk Battleship Mark I (140),Chart Officer (2),27
Starhawk Battleship Mark I (140),Ion Cannon Batteries (5),46
Starhawk Battleship Mark I (140),Hondo Ohnaka (2),21
Starhawk Battleship Mark I (140),Veteran Captain (2),1
Starhawk Battleship Mark I (140),Dual Turbolaser Turrets (4),10
Starhawk Battleship Mark I (140),Captain Rex (5),61
Starhawk Battleship Mark I (140),Wedge Antilles (4),12
Starhawk Battleship Mark I (140),Adar Tallon (10),36
Starhawk Battleship Mark I (140),General Draven (20),6
Starhawk Battleship Mark I (140),Ahsoka Tano (2),67
Starhawk Battleship Mark I (140),High-Capacity Ion Turbines (6),9
Starhawk Battleship Mark I (140),Flight Controllers (6),80
Starhawk Battleship Mark I (140),Boosted Comms (4),52
Starhawk Battleship Mark I (140),Expanded Hangar Bay (5),50
Starhawk Battleship Mark I (140),MS-1 Ion Cannons (2),19
Starhawk Battleship Mark I (140),Quad Turbolaser Cannons (10),14
Starhawk Battleship Mark I (140),Toryn Farr (7),62
Starhawk Battleship Mark I (140),Point Defense Ion Cannons (4)!,777
Starhawk Battleship Mark I (140),Damage Control Officer (5)!,74
Starhawk Battleship Mark I (140),High-Capacity Ion Turbines (8)!,51
Starhawk Battleship Mark I (140),Leading Shots (6)!,315
Starhawk Battleship Mark I (140),Fire-Control Team (2),19
Starhawk Battleship Mark I (140),Tactical Expert (6),24
Starhawk Battleship Mark I (140),Weapons Battery Techs (5)!,69
Starhawk Battleship Mark I (140),Heavy Turbolaser Turrets (6)!,25
Starhawk Battleship Mark I (140),Proximity Mines (4),26
Starhawk Battleship Mark I (140),Navigation Officer (6),27
Starhawk Battleship Mark I (140),NK-7 Ion Cannons (10)!,20
Starhawk Battleship Mark I (140),H9 Turbolasers (8),35
Starhawk Battleship Mark I (140),Flight Commander (3),20
Starhawk Battleship Mark I (140),Kyrsta Agate (20)!,441
Starhawk Battleship Mark I (140),Ruthless Strategists (4),13
Starhawk Battleship Mark I (140),Wing Commander (6),12
Starhawk Battleship Mark I (140),Sabine Wren (4),4
Starhawk Battleship Mark I (140),Skilled First Officer (1),17
Starhawk Battleship Mark I (140),Veteran Captain (3)!,6
Starhawk Battleship Mark I (140),Overload Pulse (8)!,63
Starhawk Battleship Mark I (140),XX-9 Turbolasers (5)!,50
Starhawk Battleship Mark I (140),Shriv Suurgav (6)!,11
Starhawk Battleship Mark I (140),Jyn Erso (4),12
Starhawk Battleship Mark I (140),Reserve Hangar Deck (3)!,8
Starhawk Battleship Mark I (140),Boarding Engineers (2),32
Starhawk Battleship Mark I (140),Dual Turbolaser Turrets (5)!,2
Starhawk Battleship Mark I (140),Flag Bridge (0),33
Starhawk Battleship Mark I (140),Entrapment Formation! (5),12
Starhawk Battleship Mark I (140),Weapons Liaison (3),9
Starhawk Battleship Mark I (140),Point-Defense Reroute (5),5
Starhawk Battleship Mark I (140),Support Officer (4)!,18
Starhawk Battleship Mark I (140),Take Evasive Action! (6),3
Starhawk Battleship Mark I (140),Leia Organa (3),6
Starhawk Battleship Mark I (140),Intensify Firepower! (6),11
Starhawk Battleship Mark I (140),Advanced Transponder Net (5),1
Starhawk Battleship Mark I (140),Slaved Turrets (6),1
Starhawk Battleship Mark I (140),Cham Syndulla (5),5
Starhawk Battleship Mark I (140),"All fighters, Follow Me! (5)",2
Starhawk Battleship Mark I (140),Shriv Suurgav (4),3
Starhawk Battleship Mark I (140),Shields to Maximum! (6),4
Starhawk Battleship Mark I (140),Heavy Fire Zone (4)!,1
MC75 Armored Cruiser (99),Intel Officer (7),28
MC75 Armored Cruiser (99),Gunnery Team (7),20
MC75 Armored Cruiser (99),Electronic Countermeasures (7),224
MC75 Armored Cruiser (99),External Racks (4),170
MC75 Armored Cruiser (99),XI7 Turbolasers (6),96
MC75 Armored Cruiser (99),Dual Turbolaser Turrets (4),16
MC75 Armored Cruiser (99),Aspiration (3),67
MC75 Armored Cruiser (99),Walex Blissex (5),69
MC75 Armored Cruiser (99),Boarding Troopers (3),83
MC75 Armored Cruiser (99),Point Defense Ion Cannons (6),104
MC75 Armored Cruiser (99),Profundity (7),122
MC75 Armored Cruiser (99),Hondo Ohnaka (2),3
MC75 Armored Cruiser (99),Ordnance Experts (4),31
MC75 Armored Cruiser (99),Rapid Launch Bays (6),35
MC75 Armored Cruiser (99),Engineering Captain (6),4
MC75 Armored Cruiser (99),Local Fire Control (4),24
MC75 Armored Cruiser (99),Flak Guns (3),23
MC75 Armored Cruiser (99),Leading Shots (5),106
MC75 Armored Cruiser (99),XX-9 Turbolasers (2),36
MC75 Armored Cruiser (99),Caitken and Shollan (6),48
MC75 Armored Cruiser (99),Assault Concussion Missiles (5),22
MC75 Armored Cruiser (99),Heavy Ion Emplacements (9),45
MC75 Armored Cruiser (99),H9 Turbolasers (8),18
MC75 Armored Cruiser (99),Mon Calamari Exodus Fleet (5),28
MC75 Armored Cruiser (99),Hardened Bulkheads (5),8
MC75 Armored Cruiser (99),Quad Battery Turrets (5),67
MC75 Armored Cruiser (99),Reactive Gunnery (4),20
MC75 Armored Cruiser (99),Expanded Launchers (8),64
MC75 Armored Cruiser (99),Overload Pulse (6),11
MC75 Armored Cruiser (99),General Draven (20),11
MC75 Armored Cruiser (99),Flight Controllers (6),26
MC75 Armored Cruiser (99),Expanded Hangar Bay (5),20
MC75 Armored Cruiser (99),Advanced Projectors (6),9
MC75 Armored Cruiser (99),Enhanced Armament (10),10
MC75 Armored Cruiser (99),Ezra Bridger (3),16
MC75 Armored Cruiser (99),SW-7 Ion Batteries (5),7
MC75 Armored Cruiser (99),Lando Calrissian (4),27
MC75 Armored Cruiser (99),Sensor Team (5),11
MC75 Armored Cruiser (99),Slaved Turrets (6),2
MC75 Armored Cruiser (99),Kyrsta Agate (5),3
MC75 Armored Cruiser (99),Damage Control Officer (3),19
MC75 Armored Cruiser (99),Ordnance Pods (3),21
MC75 Armored Cruiser (99),Ray Antilles (7),11
MC75 Armored Cruiser (99),Weapons Battery Techs (4),14
MC75 Armored Cruiser (99),Reinforced Blast Doors (5),46
MC75 Armored Cruiser (99),Quad Laser Turrets (5),7
MC75 Armored Cruiser (99),Major Derlin (7),15
MC75 Armored Cruiser (99),Ruthless Strategists (4),8
MC75 Armored Cruiser (99),Leia Organa (3),1
MC75 Armored Cruiser (99),General Dodonna (20),17
MC75 Armored Cruiser (99),Support Officer (2),4
MC75 Armored Cruiser (99),DBY-827 Heavy Turbolasers (3),19
MC75 Armored Cruiser (99),Boosted Comms (4),15
MC75 Armored Cruiser (99),Early Warning System (7),11
MC75 Armored Cruiser (99),Ahsoka Tano (2),14
MC75 Armored Cruiser (99),High-Capacity Ion Turbines (6),6
MC75 Armored Cruiser (99),Heavy Turbolaser Turrets (4),7
MC75 Armored Cruiser (99),NK-7 Ion Cannons (6),10
MC75 Armored Cruiser (99),Adar Tallon (10),7
MC75 Armored Cruiser (99),General Draven (3),1
MC75 Armored Cruiser (99),Point-Defense Reroute (5),1
MC75 Armored Cruiser (99),Ion Cannon Batteries (5),9
MC75 Armored Cruiser (99),Tactical Expert (6),2
MC75 Armored Cruiser (99),Redundant Shields (8),4
MC75 Armored Cruiser (99),Flechette Torpedoes (3),2
MC75 Armored Cruiser (99),Toryn Farr (7),12
MC75 Armored Cruiser (99),Heavy Fire Zone (2),1
MC75 Armored Cruiser (99),Flag Bridge (0),11
MC75 Armored Cruiser (99),Intensify Firepower! (6),10
MC75 Armored Cruiser (99),Veteran Gunners (5),11
MC75 Armored Cruiser (99),Assault Proton Torpedoes (4),14
MC75 Armored Cruiser (99),Chart Officer (2),1
MC75 Armored Cruiser (99),Captain Rex (5),7
MC75 Armored Cruiser (99),Skilled First Officer (1),4
MC75 Armored Cruiser (99),Shriv Suurgav (4),14
MC75 Armored Cruiser (99),Reserve Hangar Deck (4),3
MC75 Armored Cruiser (99),Spinal Armament (9),9
MC75 Armored Cruiser (99),Phylon Q7 Tractor Beams (6),2
MC75 Armored Cruiser (99),Flight Commander (3),1
MC75 Armored Cruiser (99),Wide-Area Barrage (2),2
MC75 Armored Cruiser (99),Rapid Reload (4),4
MC75 Armored Cruiser (99),Veteran Captain (2),7
MC75 Armored Cruiser (99),"All fighters, Follow Me! (5)",1
MC75 Armored Cruiser (99),Fire-Control Team (2),9
MC75 Armored Cruiser (99),MS-1 Ion Cannons (2),2
MC75 Armored Cruiser (99),Wing Commander (6),1
MC75 Armored Cruiser (99),Quad Turbolaser Cannons (10),2
MC75 Armored Cruiser (99),Proximity Mines (4),1
MC75 Armored Cruiser (99),Linked Turbolaser Towers (7),2
MC75 Armored Cruiser (99),Jyn Erso (4),1
Nebulon-B Escort Frigate (57),Expert Shield Tech (5),4
Nebulon-B Escort Frigate (57),Auxiliary Shields Team (3),1020
Nebulon-B Escort Frigate (57),Heavy Fire Zone (2),69
Nebulon-B Escort Frigate (57),Salvation (7),386
Nebulon-B Escort Frigate (57),Ray Antilles (7),167
Nebulon-B Escort Frigate (57),Yavaris (5),1857
Nebulon-B Escort Frigate (57),Spinal Armament (9),243
Nebulon-B Escort Frigate (57),Toryn Farr (7),166
Nebulon-B Escort Frigate (57),Fighter Coordination Team (3),690
Nebulon-B Escort Frigate (57),Dual Turbolaser Turrets (4),47
Nebulon-B Escort Frigate (57),Flight Commander (3),637
Nebulon-B Escort Frigate (57),Skilled First Officer (1),185
Nebulon-B Escort Frigate (57),Linked Turbolaser Towers (7),771
Nebulon-B Escort Frigate (57),Vanguard (4),427
Nebulon-B Escort Frigate (57),Ruthless Strategists (4),201
Nebulon-B Escort Frigate (57),Projection Experts (6),93
Nebulon-B Escort Frigate (57),Turbolaser Reroute Circuits (7),152
Nebulon-B Escort Frigate (57),Redemption (5),36
Nebulon-B Escort Frigate (57),Major Derlin (7),75
Nebulon-B Escort Frigate (57),Walex Blissex (5),35
Nebulon-B Escort Frigate (57),Wedge Antilles (4),24
Nebulon-B Escort Frigate (57),Adar Tallon (10),173
Nebulon-B Escort Frigate (57),General Draven (3),133
Nebulon-B Escort Frigate (57),XX-9 Turbolasers (2),9
Nebulon-B Escort Frigate (57),Engineering Captain (6),13
Nebulon-B Escort Frigate (57),Gunnery Team (7),49
Nebulon-B Escort Frigate (57),Slaved Turrets (6),72
Nebulon-B Escort Frigate (57),Enhanced Armament (10),71
Nebulon-B Escort Frigate (57),Wing Commander (6),9
Nebulon-B Escort Frigate (57),H9 Turbolasers (8),10
Nebulon-B Escort Frigate (57),Quad Turbolaser Cannons (10),10
Nebulon-B Escort Frigate (57),Flight Controllers (6),59
Nebulon-B Escort Frigate (57),Caitken and Shollan (6),38
Nebulon-B Escort Frigate (57),XI7 Turbolasers (6),36
Nebulon-B Escort Frigate (57),Ezra Bridger (3),41
Nebulon-B Escort Frigate (57),Kyrsta Agate (5),24
Nebulon-B Escort Frigate (57),General Dodonna (20),46
Nebulon-B Escort Frigate (57),Quad Battery Turrets (5),57
Nebulon-B Escort Frigate (57),Tactical Expert (6),4
Nebulon-B Escort Frigate (57),Engine Techs (8),47
Nebulon-B Escort Frigate (57),Ahsoka Tano (2),102
Nebulon-B Escort Frigate (57),Redemption (8)!,163
Nebulon-B Escort Frigate (57),Heavy Fire Zone (4)!,292
Nebulon-B Escort Frigate (57),Heavy Turbolaser Turrets (4),2
Nebulon-B Escort Frigate (57),Veteran Gunners (5),12
Nebulon-B Escort Frigate (57),Veteran Captain (2),3
Nebulon-B Escort Frigate (57),General Draven (20),2
Nebulon-B Escort Frigate (57),Hondo Ohnaka (2),43
Nebulon-B Escort Frigate (57),Lando Calrissian (4),85
Nebulon-B Escort Frigate (57),Medical Team (1),54
Nebulon-B Escort Frigate (57),Heavy Turbolaser Turrets (6)!,12
Nebulon-B Escort Frigate (57),Nav Team (4),31
Nebulon-B Escort Frigate (57),Dual Turbolaser Turrets (5)!,35
Nebulon-B Escort Frigate (57),Sensor Team (5),4
Nebulon-B Escort Frigate (57),Chart Officer (2),8
Nebulon-B Escort Frigate (57),Weapons Liaison (3),6
Nebulon-B Escort Frigate (57),Fire-Control Team (2),2
Nebulon-B Escort Frigate (57),Local Fire Control (4),16
Nebulon-B Escort Frigate (57),DBY-827 Heavy Turbolasers (3),7
Nebulon-B Escort Frigate (57),Engineering Team (5)!,38
Nebulon-B Escort Frigate (57),Kyrsta Agate (20)!,39
Nebulon-B Escort Frigate (57),Intel Officer (7),54
Nebulon-B Escort Frigate (57),Leia Organa (3),20
Nebulon-B Escort Frigate (57),Sabine Wren (4),10
Nebulon-B Escort Frigate (57),Damage Control Officer (5)!,2
Nebulon-B Escort Frigate (57),Weapons Battery Techs (5)!,3
Nebulon-B Escort Frigate (57),Veteran Captain (3)!,11
Nebulon-B Escort Frigate (57),Captain Rex (5),10
Nebulon-B Escort Frigate (57),XX-9 Turbolasers (5)!,9
Nebulon-B Escort Frigate (57),Defense Liaison (3),5
Nebulon-B Escort Frigate (57),Ordnance Experts (4),8
Nebulon-B Escort Frigate (57),Navigation Officer (6),1
Nebulon-B Escort Frigate (57),Engineering Team (3),1
MC30c Torpedo Frigate (63),General Dodonna (20),105
MC30c Torpedo Frigate (63),Lando Calrissian (4),1148
MC30c Torpedo Frigate (63),Ordnance Experts (4),6501
MC30c Torpedo Frigate (63),Assault Proton Torpedoes (4),1465
MC30c Torpedo Frigate (63),H9 Turbolasers (8),3270
MC30c Torpedo Frigate (63),Admonition (10),151
MC30c Torpedo Frigate (63),External Racks (4),4759
MC30c Torpedo Frigate (63),XI7 Turbolasers (6),1105
MC30c Torpedo Frigate (63),Hondo Ohnaka (2),73
MC30c Torpedo Frigate (63),Electronic Countermeasures (7),1220
MC30c Torpedo Frigate (63),Foresight (10),340
MC30c Torpedo Frigate (63),Expert Shield Tech (5),1760
MC30c Torpedo Frigate (63),Intel Officer (7),265
MC30c Torpedo Frigate (63),Expanded Launchers (8),91
MC30c Torpedo Frigate (63),Redundant Shields (8),63
MC30c Torpedo Frigate (63),Walex Blissex (5),420
MC30c Torpedo Frigate (63),Rapid Reload (4),50
MC30c Torpedo Frigate (63),Turbolaser Reroute Circuits (7),77
MC30c Torpedo Frigate (63),Advanced Projectors (6),1455
MC30c Torpedo Frigate (63),Early Warning System (7),188
MC30c Torpedo Frigate (63),Ray Antilles (7),42
MC30c Torpedo Frigate (63),Reinforced Blast Doors (5),387
MC30c Torpedo Frigate (63),Heavy Turbolaser Turrets (4),26
MC30c Torpedo Frigate (63),Caitken and Shollan (6),164
MC30c Torpedo Frigate (63),Dual Turbolaser Turrets (4),7
MC30c Torpedo Frigate (63),Ezra Bridger (3),120
MC30c Torpedo Frigate (63),XX-9 Turbolasers (2),87
MC30c Torpedo Frigate (63),Assault Concussion Missiles (5),364
MC30c Torpedo Frigate (63),Major Derlin (7),248
MC30c Torpedo Frigate (63),Admonition (6)!,1086
MC30c Torpedo Frigate (63),Reactive Gunnery (4),124
MC30c Torpedo Frigate (63),DBY-827 Heavy Turbolasers (3),42
MC30c Torpedo Frigate (63),Toryn Farr (7),33
MC30c Torpedo Frigate (63),Foresight (8)!,3390
MC30c Torpedo Frigate (63),Skilled First Officer (1),436
MC30c Torpedo Frigate (63),Kyrsta Agate (5),21
MC30c Torpedo Frigate (63),Mon Calamari Exodus Fleet (5),305
MC30c Torpedo Frigate (63),Cluster Bombs (5),116
MC30c Torpedo Frigate (63),General Draven (20),2
MC30c Torpedo Frigate (63),Veteran Gunners (5),32
MC30c Torpedo Frigate (63),Veteran Captain (3)!,13
MC30c Torpedo Frigate (63),Enhanced Armament (10),99
MC30c Torpedo Frigate (63),Captain Rex (5),40
MC30c Torpedo Frigate (63),Veteran Captain (2),7
MC30c Torpedo Frigate (63),Wide-Area Barrage (2),25
MC30c Torpedo Frigate (63),Expanded Launchers (13)!,136
MC30c Torpedo Frigate (63),Quad Battery Turrets (5),14
MC30c Torpedo Frigate (63),Rapid Reload (8)!,123
MC30c Torpedo Frigate (63),XX-9 Turbolasers (5)!,147
MC30c Torpedo Frigate (63),Spinal Armament (9),8
MC30c Torpedo Frigate (63),Heavy Turbolaser Turrets (6)!,188
MC30c Torpedo Frigate (63),Flechette Torpedoes (3),2
MC30c Torpedo Frigate (63),Engineering Captain (6),22
MC30c Torpedo Frigate (63),Ahsoka Tano (2),38
MC30c Torpedo Frigate (63),Support Officer (4)!,2
MC30c Torpedo Frigate (63),Gunnery Team (7),55
MC30c Torpedo Frigate (63),Fire-Control Team (2),40
MC30c Torpedo Frigate (63),Linked Turbolaser Towers (7),31
MC30c Torpedo Frigate (63),Kyrsta Agate (20)!,416
MC30c Torpedo Frigate (63),Chart Officer (2),21
MC30c Torpedo Frigate (63),Weapons Battery Techs (5)!,10
MC30c Torpedo Frigate (63),Sabine Wren (4),13
MC30c Torpedo Frigate (63),Tactical Expert (6),19
MC30c Torpedo Frigate (63),Sensor Team (5),15
MC30c Torpedo Frigate (63),Ruthless Strategists (4),2
MC30c Torpedo Frigate (63),Local Fire Control (4),14
MC30c Torpedo Frigate (63),Dual Turbolaser Turrets (5)!,7
MC30c Torpedo Frigate (63),Weapons Liaison (3),2
MC30c Torpedo Frigate (63),Wedge Antilles (4),5
MC30c Torpedo Frigate (63),Wing Commander (6),1
MC30c Torpedo Frigate (63),Leia Organa (3),8
MC30c Torpedo Frigate (63),Quad Turbolaser Cannons (10),6
MC30c Torpedo Frigate (63),Damage Control Officer (5)!,1
MC30c Torpedo Frigate (63),Flight Commander (3),2
MC30c Torpedo Frigate (63),Slaved Turrets (6),5
MC30c Torpedo Frigate (63),Heavy Fire Zone (4)!,2
MC30c Torpedo Frigate (63),Flight Controllers (6),1
MC30c Torpedo Frigate (63),Defense Liaison (3),7
MC30c Torpedo Frigate (63),Navigation Officer (6),4
MC30c Torpedo Frigate (63),Weapons Battery Techs (4),1
CR90 Corvette B (39),SW-7 Ion Batteries (5),945
